rootfile,date,run,stream,total,npu,pu
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367170.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367170,PCPEB,k1029_m2048,52760065,52759426,639
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367318.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,367318,PCPEB,k1029_m2048,45944198,45942687,1511
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367321.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367321,PCPEB,k1029_m2048,57958623,57956183,2440
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367363.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367363,PCPEB,k1029_m2048,1912942,1912703,239
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367364.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367364,PCPEB,k1029_m2048,61129964,61127103,2861
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367365.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367365,PCPEB,k1029_m2048,28664341,28662378,1963
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3655121224_1.00365512.calibration_CCPEB.k1023_m2037.0107_1.tot.root,21224_1,365512,CCPEB,k1023_m2037,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3655121224_1.00365512.calibration_PCPEB.k1023_m2037.0107_1.tot.root,21224_1,365512,PCPEB,k1023_m2037,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3656810107_1.00365681.calibration_CCPEB.k1029_m2048.0107_1.tot.root,10107_1,365681,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3660290107_1.00366029.calibration_PCPEB.k1029_m2048.0107_1.tot.root,90107_1,366029,PCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3660920107_1.00366092.calibration_CCPEB.k1029_m2048.0107_1.tot.root,20107_1,366092,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3666910107_1.00366691.calibration_CCPEB.k1029_m2048.0107_1.tot.root,10107_1,366691,CCPEB,k1029_m2048,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365502.calibration_CCPEB.k1023_m2037.1026-1.tot.root,-1028-1,365502,CCPEB,k1023_m2037,3750427,3750427,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365573.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365573,CCPEB,k1029_m2048,27836749,27832250,4499
